Meno,Link,Licencia
Margecany 2024 - XXVI. ročník turnaja dvojíc v,https://chess-results.com/tnr857320.aspx,Creator/Last Upload: Slovak Chess Federation license 2
Kremnická veža 2024 ,https://chess-results.com/tnr864100.aspx,Creator/Last Upload: Slovak Chess Federation license 1
NOVOROČNÝ TURNAJ  GPX  BANSKÁ BYSTRICA 2024 ,https://chess-results.com/tnr870150.aspx,Creator/Last Upload: Slovak Chess Federation license 4
NOVOROČNÝ ŠACHOVÝ TURNAJ BANSKÁ BYSTRICA ,https://chess-results.com/tnr869887.aspx,Creator/Last Upload: Slovak Chess Federation license 4
Network Cafe Bardejov - GPX mládeže - 7.1.2024,https://chess-results.com/tnr875536.aspx,Creator/Last Upload: Slovak Chess Federation
3. kolo Školskej šachovej ligy v rapid &#,https://chess-results.com/tnr877342.aspx,Creator/Last Upload: Slovak Chess Federation license 7
Veľká cena Topoľčian v bleskovom ,https://chess-results.com/tnr877548.aspx,Creator/Last Upload: Slovak Chess Federation license 1
Šachová zima v Topoľčanoch 2024 ,https://chess-results.com/tnr875677.aspx,"Creator: Slovak Chess Federation,Last Upload: Slovak Chess Federation license 28"
Majstrovstva MC Petrzalka 2023/2024 ,https://chess-results.com/tnr876910.aspx,Creator/Last Upload: Slovak Chess Federation license 4
ZOBOR CUP 2023/24 -  4. turnaj  ,https://chess-results.com/tnr873406.aspx,Creator/Last Upload: Slovak Chess Federation license 5
"ZOBOR CUP 2023/24 -  ""B"" _4. turnaj  ",https://chess-results.com/tnr873411.aspx,Creator/Last Upload: Slovak Chess Federation license 5
Network Cafe Bardejov - GPX mládeže - 13.1.202,https://chess-results.com/tnr876776.aspx,Creator/Last Upload: Slovak Chess Federation
"FoosBar ŠACH-BAR liga, 2023-24, 4. kolo ",https://chess-results.com/tnr878331.aspx,Creator/Last Upload: windvd
"FoosBar ŠACH-BAR liga, 2023-24, 3. kolo ",https://chess-results.com/tnr878154.aspx,Creator/Last Upload: windvd
4.turnaj začiatočníkov-12.ročník - R,https://chess-results.com/tnr849807.aspx,Creator/Last Upload: Slovak Chess Federation license 4
Majstrovstva MC Petrzalka 2023/2024 ,https://chess-results.com/tnr879816.aspx,Creator/Last Upload: Slovak Chess Federation license 4
Ziacka liga v sachu  Kosice 21.rocník 3.turnaj 20.1,https://chess-results.com/tnr864778.aspx,Creator/Last Upload: Slovak Chess Federation license 2
Tomášovská liga mládeže 2023/24 - 4. turn,https://chess-results.com/tnr876795.aspx,Creator/Last Upload: Slovak Chess Federation license 5
Tomášovce open 2023/24 - 4. turnaj ,https://chess-results.com/tnr876794.aspx,Creator/Last Upload: Slovak Chess Federation license 5
NitranCheck GPX 20.1.2024 ,https://chess-results.com/tnr859623.aspx,Creator/Last Upload: Slovak Chess Federation license 6
"NitranCheck B, GPX+ 20.1.2024, PRIZEPOOL 100€",https://chess-results.com/tnr859624.aspx,Creator/Last Upload: Slovak Chess Federation license 6
Network Cafe Bardejov - GPX mládeže - 20.1.202,https://chess-results.com/tnr880517.aspx,Creator/Last Upload: Slovak Chess Federation
3. turnaj - XI. Ročník REINTER GPX v šach,https://chess-results.com/tnr864557.aspx,Creator/Last Upload: Slovak Chess Federation license 9
Prebor RK - 2 turnaj ,https://chess-results.com/tnr883224.aspx,Creator/Last Upload: Slovak Chess Federation
REINTER Liga 2024 - Jar ,https://chess-results.com/tnr883956.aspx,Creator/Last Upload: Slovak Chess Federation license 9
"Majstrovstvá okresu Stropkov ZŠ, 3.kolo 26.01.",https://chess-results.com/tnr879206.aspx,Creator/Last Upload: Slovak Chess Federation license 3
"Majstrovstvá okresu Stropkov turnaj SŠ, 3.kolo",https://chess-results.com/tnr879201.aspx,Creator/Last Upload: Slovak Chess Federation license 3
Majstrovstvá družstiev (novoročný turnaj),https://chess-results.com/tnr883973.aspx,Creator/Last Upload: Slovak Chess Federation license 4
"ŠACHOVÝ TURNAJ CENADA - Turnaj C, Začiato",https://chess-results.com/tnr882183.aspx,Creator/Last Upload: Slovak Chess Federation license 4
"ŠACHOVÝ TURNAJ CENADA - Turnaj B, GPX+ OPEN ",https://chess-results.com/tnr882181.aspx,Creator/Last Upload: Slovak Chess Federation license 4
"ŠACHOVÝ TURNAJ CENADA - Turnaj A, GPX ",https://chess-results.com/tnr927354.aspx,Creator/Last Upload: Slovak Chess Federation license 4
Network Cafe Bardejov - GPX mládeže - 27.1.202,https://chess-results.com/tnr883613.aspx,Creator/Last Upload: Slovak Chess Federation
"Liga mládeža Spiša 4. turnaj Poprad GPX 2023/24 08,11,14 ",https://chess-results.com/tnr889938.aspx,"Creator: Slovak Chess Federation license 13,Last Upload: Slovak Chess Federation license 67"
Liga mládeža Spiša 4. turnaj Poprad 2022/23 GPX + 23 ,https://chess-results.com/tnr883922.aspx,"Creator: Slovak Chess Federation license 13,Last Upload: Slovak Chess Federation license 67"
Sachovy turnaj CM JUNIOR jan 2024  1 rocnik ,https://chess-results.com/tnr885694.aspx,Creator/Last Upload: Slovak Chess Federation license 4
Majstrovstvá súkromnej školy v Senci 2023/24 ,https://chess-results.com/tnr886527.aspx,Creator/Last Upload: Slovak Chess Federation
Veľká cena Topoľčian v bleskovom ,https://chess-results.com/tnr887402.aspx,Creator/Last Upload: Slovak Chess Federation license 1
Detská bratislavská liga 02.02. 2024 ,https://chess-results.com/tnr872231.aspx,Creator/Last Upload: Slovak Chess Federation license 4
Network Cafe Bardejov - GPX mládeže - 3.2.2024,https://chess-results.com/tnr886160.aspx,Creator/Last Upload: Slovak Chess Federation
"FoosBar ŠACH-BAR liga, 2023-24, 5. kolo ",https://chess-results.com/tnr889097.aspx,Creator/Last Upload: windvd
4. turnaj serialu Talent 2023/24 21.10.2023 - 23.03,https://chess-results.com/tnr874443.aspx,Creator/Last Upload: Slovak Chess Federation license 1
Network Cafe Bardejov - Open - 4.2.2024 ,https://chess-results.com/tnr888119.aspx,Creator/Last Upload: Slovak Chess Federation
Zimny turnaj MERCURY 5+6 2024 ,https://chess-results.com/tnr889563.aspx,"Creator: Slovak Chess Federation license 4,Last Upload: Slovak Chess Federation license 51"
